index,split,scene_label,filename,image_path,exists,thesis_class
2900,val,harbor,Places365_val_00002319.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00002319.jpg,True,sea
2901,val,harbor,Places365_val_00003823.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00003823.jpg,True,sea
2902,val,harbor,Places365_val_00020490.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00020490.jpg,True,sea
2903,val,harbor,Places365_val_00032938.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00032938.jpg,True,sea
2904,val,harbor,Places365_val_00019124.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00019124.jpg,True,sea
2905,val,harbor,Places365_val_00022240.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00022240.jpg,True,sea
2906,val,harbor,Places365_val_00021610.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00021610.jpg,True,sea
2907,val,harbor,Places365_val_00030563.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00030563.jpg,True,sea
2908,val,harbor,Places365_val_00036045.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00036045.jpg,True,sea
2909,val,harbor,Places365_val_00008978.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00008978.jpg,True,sea
2910,val,harbor,Places365_val_00022239.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00022239.jpg,True,sea
2911,val,harbor,Places365_val_00012240.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00012240.jpg,True,sea
2912,val,harbor,Places365_val_00003948.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00003948.jpg,True,sea
2913,val,harbor,Places365_val_00013812.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00013812.jpg,True,sea
2914,val,harbor,Places365_val_00035875.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00035875.jpg,True,sea
2915,val,harbor,Places365_val_00016548.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00016548.jpg,True,sea
2916,val,harbor,Places365_val_00013390.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00013390.jpg,True,sea
2917,val,harbor,Places365_val_00015756.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00015756.jpg,True,sea
2918,val,harbor,Places365_val_00003256.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00003256.jpg,True,sea
2919,val,harbor,Places365_val_00034741.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00034741.jpg,True,sea
2920,val,harbor,Places365_val_00035027.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00035027.jpg,True,sea
2921,val,harbor,Places365_val_00026194.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00026194.jpg,True,sea
2922,val,harbor,Places365_val_00014739.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00014739.jpg,True,sea
2923,val,harbor,Places365_val_00016752.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00016752.jpg,True,sea
2924,val,harbor,Places365_val_00006856.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00006856.jpg,True,sea
2925,val,harbor,Places365_val_00027343.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00027343.jpg,True,sea
2926,val,harbor,Places365_val_00035137.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00035137.jpg,True,sea
2927,val,harbor,Places365_val_00009813.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00009813.jpg,True,sea
2928,val,harbor,Places365_val_00032134.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00032134.jpg,True,sea
2929,val,harbor,Places365_val_00013055.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00013055.jpg,True,sea
2930,val,harbor,Places365_val_00018078.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00018078.jpg,True,sea
2931,val,harbor,Places365_val_00019824.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00019824.jpg,True,sea
2932,val,harbor,Places365_val_00028506.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00028506.jpg,True,sea
2933,val,harbor,Places365_val_00029342.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00029342.jpg,True,sea
2934,val,harbor,Places365_val_00011249.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00011249.jpg,True,sea
2935,val,harbor,Places365_val_00035004.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00035004.jpg,True,sea
2936,val,harbor,Places365_val_00028774.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00028774.jpg,True,sea
2937,val,harbor,Places365_val_00029297.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00029297.jpg,True,sea
2938,val,harbor,Places365_val_00028116.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00028116.jpg,True,sea
2939,val,harbor,Places365_val_00016472.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00016472.jpg,True,sea
2940,val,harbor,Places365_val_00016138.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00016138.jpg,True,sea
2941,val,harbor,Places365_val_00030513.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00030513.jpg,True,sea
2942,val,harbor,Places365_val_00017898.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00017898.jpg,True,sea
2943,val,harbor,Places365_val_00026751.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00026751.jpg,True,sea
2944,val,harbor,Places365_val_00031353.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00031353.jpg,True,sea
2945,val,harbor,Places365_val_00035515.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00035515.jpg,True,sea
2946,val,harbor,Places365_val_00000299.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00000299.jpg,True,sea
2947,val,harbor,Places365_val_00021599.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00021599.jpg,True,sea
2948,val,harbor,Places365_val_00029498.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00029498.jpg,True,sea
2949,val,harbor,Places365_val_00019415.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00019415.jpg,True,sea
2950,val,harbor,Places365_val_00009741.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00009741.jpg,True,sea
2951,val,harbor,Places365_val_00033176.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00033176.jpg,True,sea
2952,val,harbor,Places365_val_00025880.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00025880.jpg,True,sea
2953,val,harbor,Places365_val_00004800.jpg,/Users/aidahamzic/PycharmProjects/CNN/data/raw/places365/val_256/Places365_val_00004800.jpg,True,sea
